City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jamestown,42.097,-79.2353,81.01,55.0,40.0,13.0,US,1689618041.0
1,bethel,41.3712,-73.414,88.9,59.0,0.0,4.61,US,1689618131.0
2,ayagoz,47.9714,80.4392,66.58,45.0,0.0,9.46,KZ,1689618132.0
3,chapais,49.7834,-74.8492,65.98,50.0,26.0,12.95,CA,1689618132.0
4,east london,-33.0153,27.9116,59.94,77.0,0.0,4.61,ZA,1689618005.0
5,busselton,-33.65,115.3333,57.27,81.0,100.0,13.98,AU,1689618133.0
6,bambous virieux,-20.3428,57.7575,73.65,78.0,75.0,14.97,MU,1689618133.0
7,nahrin,36.0649,69.1334,78.6,21.0,0.0,4.05,AF,1689618134.0
8,rikitea,-23.1203,-134.9692,73.83,78.0,83.0,11.5,PF,1689618134.0
9,butaritari,3.0707,172.7902,81.3,80.0,68.0,7.78,KI,1689618135.0
10,hamilton,39.1834,-84.5333,85.73,67.0,20.0,10.36,US,1689618123.0
11,ushuaia,-54.8,-68.3,38.86,60.0,40.0,2.3,AR,1689617907.0
13,geraldton,-28.7667,114.6,46.81,81.0,8.0,12.66,AU,1689618136.0
14,atuona,-9.8,-139.0333,79.16,73.0,15.0,16.84,PF,1689618137.0
15,kashi,39.4547,75.9797,88.81,22.0,8.0,15.66,CN,1689618137.0
16,saint-pierre,-21.3393,55.4781,71.28,83.0,100.0,4.61,RE,1689618138.0
17,skjervoy,70.0311,20.9714,62.6,92.0,50.0,11.79,NO,1689618138.0
18,codrington,-38.2667,141.9667,43.48,85.0,4.0,15.14,AU,1689618138.0
19,mataura,-46.1927,168.8643,49.06,91.0,100.0,7.34,NZ,1689618139.0
20,te anau,-45.4167,167.7167,47.88,92.0,100.0,5.84,NZ,1689618139.0
21,grants,35.1473,-107.8514,93.43,7.0,0.0,0.0,US,1689618140.0
22,cabo san lucas,22.8909,-109.9124,96.1,55.0,40.0,9.22,MX,1689618028.0
23,hirara,24.8,125.2833,82.26,94.0,100.0,13.8,JP,1689618140.0
24,chuy,-33.6971,-53.4616,53.22,48.0,6.0,11.99,UY,1689618141.0
25,port alfred,-33.5906,26.891,56.17,93.0,36.0,2.62,ZA,1689618141.0
26,ixtapa,20.7,-105.2,90.23,70.0,75.0,4.61,MX,1689618142.0
28,roald,62.5833,6.1333,58.75,88.0,75.0,12.66,NO,1689618142.0
29,victoria,22.2855,114.1577,84.38,87.0,100.0,23.0,HK,1689617910.0
30,albany,42.6001,-73.9662,86.92,61.0,56.0,1.01,US,1689618143.0
31,hobart,-42.8794,147.3294,54.27,63.0,40.0,13.8,AU,1689617790.0
32,san isidro,-12.1167,-77.05,72.99,60.0,75.0,6.91,PE,1689618144.0
33,vardo,70.3705,31.1107,60.78,72.0,0.0,11.5,NO,1689618144.0
34,salalah,17.0151,54.0924,78.89,100.0,100.0,5.75,OM,1689618145.0
35,punta arenas,-53.15,-70.9167,39.31,75.0,75.0,9.22,CL,1689617855.0
36,berwick,41.0545,-76.2333,86.38,68.0,84.0,1.99,US,1689618145.0
37,baykit,61.67,96.37,46.94,80.0,21.0,3.36,RU,1689618146.0
38,walvis bay,-22.9575,14.5053,76.15,20.0,0.0,8.05,NA,1689618146.0
39,kaeo,-35.1,173.7833,45.32,93.0,23.0,3.69,NZ,1689618147.0
40,puerto ayora,-0.7393,-90.3518,85.96,88.0,60.0,10.0,EC,1689618148.0
41,kavieng,-2.5744,150.7967,81.93,78.0,95.0,4.18,PG,1689618148.0
43,kuldiga,56.974,21.9572,67.69,62.0,66.0,7.29,LV,1689618149.0
44,iqaluit,63.7506,-68.5145,42.53,100.0,75.0,10.0,CA,1689618150.0
45,aksarka,66.5606,67.7975,57.22,77.0,26.0,9.33,RU,1689618150.0
46,esperance,-33.8667,121.9,52.68,90.0,88.0,11.45,AU,1689618151.0
47,enshi,30.3,109.4833,68.11,77.0,0.0,1.03,CN,1689618151.0
48,mount gambier,-37.8333,140.7667,50.0,79.0,45.0,10.69,AU,1689618151.0
49,hermanus,-34.4187,19.2345,55.8,92.0,50.0,6.46,ZA,1689618152.0
50,mount pleasant,32.7941,-79.8626,96.26,74.0,0.0,7.0,US,1689618124.0
51,cayenne,4.9333,-52.3333,86.04,70.0,75.0,0.0,GF,1689618011.0
52,kholodnyy,62.7167,147.95,55.72,70.0,81.0,2.8,RU,1689618153.0
53,saint-augustin,51.226,-58.6502,60.06,96.0,100.0,9.71,CA,1689618153.0
54,bluff,-46.6,168.3333,52.3,85.0,97.0,25.41,NZ,1689618154.0
55,margate,51.3813,1.3862,68.88,61.0,76.0,5.99,GB,1689617897.0
56,sinnamary,5.3833,-52.95,82.74,74.0,69.0,11.1,GF,1689618154.0
57,new norfolk,-42.7826,147.0587,53.92,59.0,67.0,9.86,AU,1689618155.0
59,mahendranagar,28.9167,80.3333,82.33,81.0,68.0,4.12,NP,1689618156.0
60,katangli,51.7102,143.2326,53.49,94.0,2.0,7.47,RU,1689618156.0
61,hilo,19.7297,-155.09,80.11,76.0,100.0,3.44,US,1689618157.0
62,kapaa,22.0752,-159.319,82.72,80.0,40.0,12.66,US,1689618157.0
63,takoradi,4.8845,-1.7554,76.93,89.0,81.0,12.84,GH,1689618157.0
64,barrow,71.2906,-156.7887,46.42,87.0,100.0,11.5,US,1689618158.0
65,valparaiso,-33.0393,-71.6273,62.83,73.0,95.0,4.61,CL,1689618133.0
66,yelan,50.949,43.7378,62.82,88.0,13.0,7.78,RU,1689618159.0
67,mar del plata,-38.0023,-57.5575,44.62,88.0,75.0,13.8,AR,1689618159.0
68,presidencia roque saenz pena,-26.7852,-60.4388,63.41,36.0,100.0,7.52,AR,1689618160.0
69,yakeshi,49.2833,120.7333,62.28,82.0,16.0,3.69,CN,1689618160.0
70,saint-philippe,-21.3585,55.7679,71.19,89.0,49.0,13.4,RE,1689618161.0
71,mehamn,71.0357,27.8492,69.71,72.0,75.0,1.14,NO,1689618161.0
72,tateyama,34.9833,139.8667,76.71,84.0,0.0,3.11,JP,1689618161.0
73,vila,42.0304,-8.1588,76.69,49.0,0.0,4.63,PT,1689618162.0
74,port blair,11.6667,92.75,84.24,79.0,100.0,12.66,IN,1689618162.0
75,narsaq,60.9167,-46.05,62.82,75.0,52.0,5.95,GL,1689618162.0
77,sivaki,52.6333,126.75,64.62,60.0,55.0,5.48,RU,1689618163.0
78,avarua,-21.2078,-159.775,68.05,94.0,75.0,5.75,CK,1689618164.0
79,chokurdakh,70.6333,147.9167,53.29,71.0,95.0,4.0,RU,1689618165.0
80,tiksi,71.6872,128.8694,49.69,67.0,99.0,17.38,RU,1689618165.0
81,great bend,38.3645,-98.7648,92.61,61.0,0.0,0.0,US,1689618166.0
82,lewiston,44.1003,-70.2148,88.32,66.0,20.0,8.05,US,1689618167.0
83,padang,-0.9492,100.3543,77.05,90.0,95.0,3.36,ID,1689618167.0
84,mayumba,-3.432,10.6554,70.88,94.0,61.0,5.57,GA,1689618167.0
85,mangan,27.5167,88.5333,76.53,99.0,100.0,2.48,IN,1689618168.0
86,quatre cocos,-20.2078,57.7625,73.51,77.0,15.0,18.43,MU,1689618168.0
87,tuktoyaktuk,69.4541,-133.0374,64.4,77.0,20.0,11.5,CA,1689618169.0
88,puerto escondido,15.85,-97.0667,87.46,63.0,100.0,8.9,MX,1689618169.0
90,puerto del rosario,28.5004,-13.8627,78.55,57.0,75.0,19.57,ES,1689618170.0
91,lebu,-37.6167,-73.65,50.97,58.0,100.0,5.03,CL,1689618170.0
92,opuwo,-18.0607,13.84,64.51,22.0,0.0,8.72,NA,1689618170.0
93,khasan,42.4308,130.6434,64.35,96.0,94.0,1.63,RU,1689618171.0
94,healdsburg,38.6105,-122.8692,103.1,46.0,0.0,4.61,US,1689618171.0
96,thompson,55.7435,-97.8558,62.76,72.0,75.0,5.75,CA,1689618133.0
97,kahului,20.8947,-156.47,82.42,65.0,20.0,9.22,US,1689618172.0
99,upington,-28.4478,21.2561,62.98,29.0,0.0,8.05,ZA,1689618178.0
100,kuito,-12.3833,16.9333,59.52,36.0,0.0,3.51,AO,1689618178.0
101,faya,18.3851,42.4509,75.31,30.0,84.0,0.96,SA,1689618179.0
102,minab,27.1467,57.0801,93.74,56.0,2.0,3.27,IR,1689618179.0
103,luderitz,-26.6481,15.1594,68.2,41.0,0.0,5.44,NA,1689618179.0
104,hauterive,46.0901,3.4459,79.56,52.0,17.0,4.41,FR,1689618180.0
105,karasjok,69.4719,25.5112,63.61,76.0,82.0,8.99,NO,1689618180.0
106,antalaha,-14.9003,50.2788,70.56,86.0,13.0,7.63,MG,1689618181.0
107,alice springs,-23.7,133.8833,44.15,81.0,6.0,1.14,AU,1689617935.0
108,provideniya,64.3833,-173.3,55.99,73.0,65.0,5.99,RU,1689618181.0
109,upernavik,72.7868,-56.1549,39.04,89.0,100.0,6.67,GL,1689618182.0
110,georgetown,5.4112,100.3354,82.33,85.0,20.0,2.3,MY,1689618160.0
111,nanortalik,60.1432,-45.2371,49.46,89.0,76.0,6.4,GL,1689618183.0
115,mirnyy,62.5353,113.9611,53.29,95.0,85.0,12.15,RU,1689618050.0
116,bathsheba,13.2167,-59.5167,86.61,79.0,40.0,14.97,BB,1689618061.0
117,norman wells,65.282,-126.8329,71.64,60.0,100.0,4.61,CA,1689618185.0
118,cidreira,-30.1811,-50.2056,54.39,58.0,0.0,13.15,BR,1689618185.0
119,kodiak,57.79,-152.4072,54.91,88.0,75.0,12.66,US,1689618186.0
120,broome,42.2506,-75.833,85.46,64.0,20.0,9.22,US,1689618186.0
121,solnechnyy,50.7214,136.6319,60.08,91.0,3.0,2.35,RU,1689618186.0
123,bilma,18.6853,12.9164,98.82,8.0,0.0,9.13,NE,1689618187.0
124,kavaratti,10.5669,72.642,82.72,80.0,98.0,18.81,IN,1689618188.0
125,saldanha,-33.0117,17.9442,55.45,92.0,11.0,8.3,ZA,1689618188.0
126,doha,25.2867,51.5333,103.98,28.0,0.0,6.91,QA,1689618021.0
127,krivyanskaya,47.3963,40.1662,77.94,56.0,63.0,6.69,RU,1689618189.0
128,ekibastuz,51.6667,75.3667,77.5,40.0,72.0,6.02,KZ,1689618189.0
129,port elizabeth,-33.918,25.5701,57.49,94.0,0.0,8.05,ZA,1689618190.0
